Date,Occurrence,Startup Name,Industry,Description,Location,Investors,Investment Type,Amount in USD,Website URL
25/11/2020,02/01/1900,Shipsy,B2B SaaS,Software Automation Of Logistics,Gurgaon,"Sequoia Capital India’s Surge, Info Edge",Series A,6003806,http://shipsy.in/
25/11/2020,02/01/1900,Cityflo,Transportation,App-based bus commute startup,Mumbai,Lightbox Ventures,Series A,7700000,https://https://https://cityflo.com///
25/11/2020,06/01/1900,Unacademy,Education,Online Learning Platform,Bangalore,"Tiger Global Management, Dragoneer Investment Group",Venture ,75000000,https://unacademy.com/
24/11/2020,02/01/1900,Cashfree,FinTech,Payments and banking technology,Bangalore,"Matrix Partners India, SAIF Partners, Ward Ferry Management and Bertelsmann India",Series B,35300000,http://www.cashfree.com/
23/11/2020,01/01/1900,Country Delight,Dairy Tech,Milk delivery startup,Gurugram,Elevation Capital,Series C,25000000,https://countrydelight.in/
28/10/2020,02/01/1900,FlexiLoans,FinTech,Digital Lending Platform,Mumbai,Falguni and Sanjay Nayar Family Office,Equity and Debt ,20160000,https://flexiloans.com/
28/10/2020,03/01/1900,Betterplace,B2B SaaS,Blue Collar Workforce Management Platform,Bangalore,Jungle Ventures,Series B,10000000,https://www.betterplace.co.in/
28/10/2020,08/01/1900,Nykaa,E-commerce,"Beauty, Fashion, Lifestyle, Wellness",Mumbai,Alia Bhatt,Personal Investment,,https://www.nykaa.com/
28/10/2020,01/01/1900,CredAble,FinTech,Supply Chain Finance,Mumbai,Oaks Asset Management and V’Ocean Investment,Follow-On,4500000,https://www.credable.in/
27/10/2020,02/01/1900,Origo,AgriTech,Agricultural Commodities Management,Gurgaon,Northern Arc Capital,Debt ,4700000,https://www.origoindia.com/
27/10/2020,02/01/1900,FreshToHome,E-commerce,Food Delivery,Bangalore,"Corporation of Dubai (ICD), Ascent Capital, DFC, the Allana Group
",Series C,121000000,https://www.freshtohome.com/
27/10/2020,01/01/1900,GetVantage,FinTech,Revenue-Based Financing Platform,Mumbai,"Chiratae Ventures, Dream Incubators",Seed,5000000,https://getvantage.co/
27/10/2020,02/01/1900,Origo,Advertising,Online Video Editing,Mumbai,Sequoia Capital India,Series A,15000000,https://make.invideo.io/save-50?utm_source=google&utm_medium=cpc&keyword=invideo&matchtype=e&creative=457487298390&placement=&device=c&gclid=CjwKCAjw0On8BRAgEiwAincsHFApJFLwBnhMZbiatURojG_qrQFid7gnQ7Y_8cGkr1cJFzx7Np-JABoCaykQAvD_BwE
26/10/2020,02/01/1900,Hubilo,Technology,Virtual Events Platform,"Wilmington, Delaware, United States",Lightspeed Venture Partners,Seed,4500000,https://hubilo.com/
21/10/2020,01/01/1900,Pocket FM,Consumer Internet,Audiobook & Podcast App,Bangalore,"Tencent, Times Group and Lightspeed India",Series A,5500000,https://www.pocketfm.in/
15/10/2020,02/01/1900,Treebo Hotels,Hospitality,Budget Hospitality Chain,Bangalore,"Matrix Partners India, SAIF Partners, Ward Ferry Management and Bertelsmann India",,6000000,https://www.treebo.com/
12/09/2020,02/01/1900,mCaffeine,Personal Care,Skincare & Haircare,Mumbai,"Amicus Capital Private Equity I LLP, Amicus Capital Partners India Fund I and RP-SG Venture Fund 1",Series B,3000000,https://www.mcaffeine.com/
09/09/2020,01/01/1900,Hippo Video,Video Customer Experience(CX) Platform,Video Customer Experience(CX) Platform,"Newark, Delaware, United States of Amercia","Alpha Wave Incubation, Exfinity Venture Partners and existing backers. 
",Series A,4500000,https://www.hippovideo.io/
09/09/2020,01/01/1900,Qshala,Education,Online Curiosity Platform for Kids,Bangalore,Rainmatter Capital,Angel,370000,https://www.qshala.com/
08/09/2020,01/01/1900,Cell Propulsion,EV,Electric Mobility Solutions,Bangalore,growX Ventures and Micelio,pre-Series A,,http://www.cellpropulsion.com/idesktop.html
08/09/2020,10/01/1900,BYJU'S,Education,Online Tutoring,Bangalore,"Silver Lake, Tiger Global, General Atlantic and Owl Ventures
",Private Equity,500000000,https://byjus.com/
07/09/2020,02/01/1900,Melorra,E-commerce,"Online Jewelry Store
",Bangalore,"Shadow Holdings, Lightbox.",Debt Financing,8900000,https://www.melorra.com/
07/09/2020,06/01/1900,1mg,E-commerce,Online Pharmacy,Gurgaon,"Gaja Capital, Tata Capital, Partners Group",In Progress,100000000,https://www.1mg.com/
03/09/2020,01/01/1900,Railofy,Transportation, WL & RAC protection platform,Mumbai,Chiratae Ventures,Seed,950000,https://www.railofy.com/home/v2?
02/09/2020,01/01/1900,Winzo,Online Gaming,Online Gaming,New Delhi,"Kalaari Capital Partners, IndigoEdge Management Consultancy",Series B,15500000,https://www.winzogames.com/
