Date,Occurrence,Startup Name,Industry,Description,Location,Investors,Investment Type,Amount in USD,Website URL
10/06/2018,03/01/1900,AyeFinance,FinTech,Online Lending Platform,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,21500000,http://www.ayefin.com
07/06/2018,07/01/1900,Meesho,Ecommerce,Online Marketplace For Resellers,Bangalore,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,11500000,https://meesho.com
07/06/2018,01/01/1900,Annapurna Finance,Finance,Non-Banking Financial Company,Bhubneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,23000000,http://ampl.net.in
05/06/2018,01/01/1900,Crowdera,FinTech,Online Crowdfunding Platform,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala. ",Seed/ Angel Funding,,https://gocrowdera.com/
05/06/2018,04/01/1900,Zoctr,Healthcare,Online Healthcare Aggregator,Mumbai,NB Ventures and Others,Seed/ Angel Funding,,https://www.zoctr.com/
04/06/2018,01/01/1900,Kashmir Box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed/ Angel Funding,,https://www.kashmirbox.com/
04/06/2018,01/01/1900,Digiconectt,Technology,Sales Analytics and Enablement Platform,Bangalore,Aspire Logistics LLC,Seed/ Angel Funding,125000,http://lconnectt.com/
01/06/2018,01/01/1900,CoinTribe,FinTech,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,10000000,https://www.cointribe.com/#/
31/05/2018,01/01/1900,Credright,Fintech,Lending Platform For SMEs,Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Seed/ Angel Funding,1300000,https://www.credright.com/
30/05/2018,02/01/1900,Stellaps,Technology,Iot Application Platform In Agriculture,Bangalore,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT ",Private Equity,14000000,http://www.stellapps.com/
30/05/2018,02/01/1900,Events High,Consumer Internet ,Events and Activities Discovery Platform,Bangalore,Treebo,Private Equity,,https://www.eventshigh.com/
29/05/2018,02/01/1900,Tonetag,Technology,Mobile Payments Technology Platform,Bangalore,Amazon Inc. and Mastercard,Private Equity,8000000,https://www.tonetag.com/
29/05/2018,01/01/1900,Toffee,Consumer Internet,Online Insurance Aggregator,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,1500000,https://toffeeinsurance.com/
28/05/2018,01/01/1900,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd ",Seed/ Angel Funding,200000,https://www.healwell24.com/
27/05/2018,01/01/1900,Acko,Consumer Internet,Online Insurance Aggregator,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,12000000,https://www.acko.com/
24/05/2018,01/01/1900,Bonphulapl,CleanTech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,293000,http://bonphulapl.com/
24/05/2018,02/01/1900,Smartivity,Education,Designer Of Toys and Learning Projects For Kids,Delhi,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,2000000,https://www.smartivity.in/
23/05/2018,01/01/1900,Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,"Insistor, Oikocredit",Seed/ Angel Funding,2000000,http://www.aashiyaan.in/
23/05/2018,01/01/1900,Edyoo,E-Commerce,Products For Shoolgoing Children,Bangalore,RS Shanbag,Seed/ Angel Funding,735000,http://www.edyoo.com/
22/05/2018,01/01/1900,Cashkumar,Fintech,P2P Lending Platform,Bangalore,LetsVenture,Seed/ Angel Funding,735000,https://cashkumar.com/
22/05/2018,01/01/1900,Vola,FinTech,Micro Lending Platform,Bangalore,Credika and unnamed angel investors,Seed/ Angel Funding,500000,https://www.volaloans.com/
21/05/2018,04/01/1900,MilkBasket,E-commerce,Micro-Delivery Grocery Startup,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,7000000,https://milkbasket.com/
21/05/2018,01/01/1900,Rocketium,Technology, Online Video Creation Platform,Bangalore,Blume ventures,Seed/ Angel Funding,300000,https://rocketium.com/
16/05/2018,04/01/1900,mfine,HealthTech,Doctor-Consultation App,Bangalore,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal ",Private Equity,4200000,https://www.mfine.co/
14/05/2018,08/01/1900,Nykaa,E-commerce,"Beauty, Fashion, Lifestyle, Wellness",Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,24000000,https://www.nykaa.com
11/05/2018,01/01/1900,Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Seed / Angel Funding,949000,https://www.theearthfood.com/
09/05/2018,01/01/1900,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,1000000,http://www.i3systems.in/
07/05/2018,01/01/1900,PaisaDukan,Fintech,P2P Lending Platform,Mumbai,,Seed / Angel Funding,225000,http://www.paisadukan.com//
03/05/2018,01/01/1900,Disprz,IT,SaaS ,Chennai," IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,2500000,https://www.disprz.com/
02/05/2018,03/01/1900,Bizongo,eCommerce,Aggregator For Packaging Material ,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,22000000,https://bizongo.in/
02/05/2018,01/01/1900,OpenTap,FinTech,Online Lending Platform,Chennai, Unknown High Net-Worth Individuals,Seed / Angel Funding,450000,http://www.opentap.in/
30/04/2018,01/01/1900,MyLoanCare,FinTech,B2C Online Loans Marketplace,Gurgaon,SAR Group,Seed / Angel Funding,978000,https://www.myloancare.in/
30/04/2018,01/01/1900,Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investments and Others,Private Equity,7500000,https://www.samco.in/
29/04/2018,02/01/1900,Rubique,Fintech,Online Lending MarketPlace,Mumbai,"Emery Capital, Blacksoil and Kalaari Capital",Private Equity,,https://www.rubique.com/
27/04/2018,06/01/1900,1mg,E-commerce,Online Pharmacy Store,Gurugram,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,10000000,https://www.1mg.com/
26/04/2018,04/01/1900,RailYatri,Consumer Internet,Online Travel Ticketing Platform,Noida,"Omidyar Network, Nandan Nilekani, Blume Ventures, Helion Venture Partners",Private Equity,,https://www.railyatri.in/
26/04/2018,02/01/1900,POPxo,Technology,Women Focussed Digital Media Platform,Delhi,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media ",Private Equity,5500000,https://www.popxo.com
25/04/2018,01/01/1900,Trip shelf,Consumer Internet,Online Travel Marketplace,Delhi," GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed / Angel Funding,246000,http://www.tripshelf.com
23/04/2018,05/01/1900,Capital Float,FinTech,Online Lending Platform,Bangalore,Amazon,Private Equity,22000000,https://www.capitalfloat.com
23/04/2018,01/01/1900,Mihuru,FinTech,Online Platform Providing Micro Loans For Air Travel,Mumbai,,Seed / Angel Funding,150000,https://www.mihuru.com
22/04/2018,02/01/1900,Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Seed / Angel Funding,1900000,http://doxper.com
22/04/2018,08/01/1900,Nykaa,E-commerce,"Beauty, Fashion, Lifestyle, Wellness",Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,11000000,https://www.nykaa.com
22/04/2018,02/01/1900,Visit,HealthTech,AI Driven Health tech Platform,Delhi,"Biz Stone, Kunal Bahl, Rohit Bansal, Alagu Periyannan and Karthee Madasamy",Private Equity,,https://getvisitapp.com
19/04/2018,01/01/1900,Fyle Technologies,Technology,AI Based Expense Management Platform,Bangalore,Pravega Ventures and Beenext ,Seed / Angel Funding,1100000,https://www.fylehq.com/
19/04/2018,05/01/1900,mamaearth,E-commerce,Online Baby care Products,Gurugram,Shilpa Shetty Kundra,Private Equity,,https://mamaearth.in/
19/04/2018,06/01/1900,Lenskart,eCommerce,Online Eyewear Retailer,Faridabad,TR Capital,Private Equity,,http://www.lenskart.com/
19/04/2018,03/01/1900,True Balance,FinTech,Mobile Balance Checking App,Gurugram,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment ",Private Equity,23000000,http://truebalance.io/
18/04/2018,01/01/1900,Coverfox ,Consumer Internet,Online Insurance Aggregator,Mumbai,"International Finance Corporation, Transamerica and others.",Private Equity,22000000,https://www.coverfox.com
16/04/2018,01/01/1900,Pregbuddy,HealthTech,Connected Care App For Pregnant Women,Bangalore,"Rajan Anandan, Madhusudhan Kannan, Jayant Kadambi, Puneet Gupta and Pradeep K Jaisingh",Seed / Angel Funding,,https://www.pregbuddy.com/
16/04/2018,01/01/1900,icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,Delhi,Mr. Manoj Prasad,Seed / Angel Funding,500000,https://www.Icanstay.com/
13/04/2018,01/01/1900,mintifi,FinTech,Online Lending Platform,Mumbai,Lok Capital,Seed / Angel Funding,2000000,http://Mintifi.com/
12/04/2018,03/01/1900,AyeFinance,FinTech,Online Lending Platform,Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,4600000,http://www.ayefin.com
12/04/2018,03/01/1900,Letsmd,Consumer Internet,Platform To Discover Healthcare Financing Options,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed / Angel Funding,1000000,https://www.letsmd.com/
10/04/2018,02/01/1900,Loanzen,FinTech,Digital Lending Platform In Logistics,Bangalore,Kae Capital Management,Seed / Angel Funding,,https://www.loanzen.in/
10/04/2018,01/01/1900,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,12000000,http://traveltriangle.com/
09/04/2018,01/01/1900,Kaleidofin,Fiinance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim ,Seed / Angel Funding,2800000,https://kaleidofin.com/
09/04/2018,01/01/1900,Elemential,Technology,Blockchain Platform,Mumbai,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others",Seed / Angel Funding,,http://elemential.com/
09/04/2018,01/01/1900,Kriger Campus,Education,Mobile-Based Education Network,Delhi,,Seed / Angel Funding,46140,http://kriger.in/blog/
09/04/2018,01/01/1900,Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed / Angel Funding,1000000,https://www.pipabella.com/
05/04/2018,04/01/1900,Vedantu,Education,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,10000000,https://www.vedantu.com/
05/04/2018,01/01/1900,IndigoLearn,Education,Online Education Platform,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,150000,https://www.indigolearn.com/
04/04/2018,01/01/1900,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bangalore,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,55000000,https://varthana.com/
02/04/2018,02/01/1900,Finzy,Consumer Internet,Online Loan Matchmaking Platform,Bangalore,,Seed / Angel Funding,1300000,https://www.finzy.com/
02/04/2018,01/01/1900,Benepik,Technology,Enhanced Employee Engagement Platform,Gurugram,"Vishal Bali, Yogesh Misra, Thomas Assessments and others",Seed / Angel Funding,,http://www.benepik.com/
02/04/2018,01/01/1900,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,307600,https://www.synctag.com/
02/04/2018,03/01/1900,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai," Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,2000000,https://www.fitternity.com/
29/03/2018,04/01/1900,Fynd,ECommerce,O2O fashion ecommerce platform,Mumbai,"Google, Kae Capital, IIFL, Singularity Ventures, GrowX, Tracxn Labs, Venture Catalyst, Patni family office and Axis Capital.",Seed / Angel Funding,,https://www.gofynd.com/
28/03/2018,02/01/1900,Smartcoin,FinTech,Micro lending company,Bangalore,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed / Angel Funding,2000000,https://www.smartcoin.co.in/
28/03/2018,01/01/1900,Roadcast,Technology,Fleet management and asset monitoring platform,Delhi,,Private Equity,250000,https://www.roadcast.in/
27/03/2018,03/01/1900,DriveU,Consumer Internet,Professional Car Drivers Hiring App,Bangalore,Amit Singhal and Unitus Seed Fund,Private Equity,3000000,https://www.driveu.in/
27/03/2018,02/01/1900,The Print,Online Media,News portal,Delhi,Ratan Tata,Seed / Angel Funding,535000,https://theprint.in/
26/03/2018,02/01/1900,Cash Suvidha,FinTech,Online loan platform,Delhi,"Initia Holdings,Vipin Agarwal and others.",Seed / Angel Funding,1000000,https://www.cashsuvidha.com/
22/03/2018,02/01/1900,UrbanPiper,Technology,Online ordering solution for restaurants and food chains,Bangalore,"Kumar Vembu, Axilor Ventures",Seed / Angel Funding,,https://urbanpiper.com
22/03/2018,01/01/1900,Slang Labs,Technology,Voice-based assistant platform,Bangalore,Endiya Partners,Seed / Angel Funding,1240000,http://slanglabs.in
22/03/2018,01/01/1900,i2i Funding,Consumer Internet,Online loan platform,Noida,SucSEED Venture Partners,Seed / Angel Funding,768000,https://www.i2ifunding.com
22/03/2018,02/01/1900,Chargebee,Technology,Subscription Billing & Recurring Payments Software,Chennai,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,18000000,https://www.chargebee.com
21/03/2018,01/01/1900,GigIndia,Consumer Internet,Micro Jobs Provider For Students ,Pune,"Jessica Wong, Hiro Mashita, Xue Manzi and Yiyun Zhang.",Seed / Angel Funding,,https://gigindia.in
20/03/2018,01/01/1900,One Labs,Consumer Internet,Consumer Technology and Artificial Intelligence Based Aggregator App,, Micromax Informatics Ltd ,Private Equity,,http://inoneapp.in
19/03/2018,01/01/1900,CustomerSucessBox,B2B SaaS,Customer Success Software for B2B SaaS,Gurugram,"Pi Ventures, Axilor Ventures",Seed / Angel Funding,1000000,https://customersuccessbox.com
19/03/2018,05/01/1900,Fingerlix,Consumer Internet,Ready To cook Food Solution,Mumbai,Alteria Capital,Debt Funding,1310000,https://www.fingerlix.com
19/03/2018,03/01/1900,Zappfresh,E-Commerce, Online Raw Meat E-tailer,Gurugram,"Amit Burman, SIDBI Venture Capital",Seed / Angel Funding,3000000,https://www.zappfresh.com
19/03/2018,02/01/1900,Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,Udaipur,"1Crowd, Ankur Capital",Seed / Angel Funding,500000,https://karmahealthcare.in
15/03/2018,06/01/1900,Grofers,E-Commerce,Online Grocery Shop,Gurugram,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,62000000,https://grofers.com
14/03/2018,01/01/1900,Stumagz,Consumer Internet,Online Communication and Collaboration Platform For Educational Institutions,Hyderabad,"Venkat Subramanian, Sudhakar Pennam, and other tech investors from Silicon Valley",Seed / Angel Funding,,https://www.stumagz.com
14/03/2018,01/01/1900,AvailFinance,Fintech,Online Lending Platform,Bangalore," Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,17200000,https://www.availfinance.in
13/03/2018,01/01/1900,PineLabs,Technology,Digital Payment Platform,Mumbai,"Actis, Altimeter Capital",Private Equity,82000000,https://www.pinelabs.com
12/03/2018,01/01/1900,HealthCare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed / Angel Funding,1000000,https://www.healthassure.in
08/03/2018,05/01/1900,Pepperfry,E-commerce,Online Furniture Shopping Store,Mumbai,State Street Global Advisors ,Private Equity,38400000,https://www.pepperfry.com
08/03/2018,05/01/1900,Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,1000000,https://magicpin.in
06/03/2018,04/01/1900,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,7600000,https://www.coverfox.com
06/03/2018,01/01/1900,Ad2pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Chennai,Avendus Finance Pvt. Ltd,Debt Funding,9700000,http://www.2adpro.com
05/03/2018,01/01/1900,Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,5000000,https://www.hotelogix.com
05/03/2018,01/01/1900,Finova Capital,Fintech,Online Lending,Jaipur,Sequoia Capital,Private Equity,6000000,http://finova.in
05/03/2018,03/01/1900,MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bangalore,"HDFC Life, HDFC Asset Management",Private Equity,10000000,https://www.medgenome.com
05/03/2018,01/01/1900,Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,2100000,https://www.wellthy.care/
04/03/2018,01/01/1900,Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,1000000,http://www.gramophone.in/
04/03/2018,01/01/1900,Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed / Angel Funding,1100000,https://livehealth.in
03/03/2018,02/01/1900,Kuvera,Consumer Internet,Online Financial Planning,Bangalore,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,250000,https://kuvera.in
01/03/2018,03/01/1900,PharmEasy,E - Commerce,Online Pharmacy Store,Mumbai,"Bessemer Venture Partners and Orios Venture Partners, JM Financials and MEMG",Private Equity,,https://pharmeasy.in
01/03/2018,04/01/1900,Urban Ladder,E-Commerce ,Online Furniture Store,Bangalore,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,12000000,https://www.urbanladder.com
01/03/2018,01/01/1900,Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,3000000,http://www.buddy4study.com
28/02/2018,01/01/1900,Predible Health,Healthcare,Cancer radiology,Bangalore,Unitus Seed Fund,Seed/Angel Funding,,http://prediblehealth.com
28/02/2018,01/01/1900,Credy,IT,SaaS,Bangalore,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,1400000,https://www.credy.in
28/02/2018,01/01/1900,Gaana,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,115000000,https://gaana.com
27/02/2018,02/01/1900,Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,250000,https://www.trilyo.com
27/02/2018,01/01/1900,Lollypop,Technology,Digital Design,Bangalore,Dr Devi Shetty,Seed / Angel Funding,,https://lollypop.biz
26/02/2018,01/01/1900,Avishkaar Box,Education,Education,Delhi,Auxano Deals,Private Equity,772500,https://www.avishkaarbox.com
26/02/2018,01/01/1900,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,1040000,http://www.planystech.com
21/02/2018,01/01/1900,HighRadius,Technology,Cloud-based Software,Hyderabad,"PNC, Citi Ventures",Private Equity,,https://www.highradius.com
21/02/2018,01/01/1900,The Healthy Billions,Healthcare,Analytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,2100000,https://healthybillions.com
21/02/2018,04/01/1900,Udaan,B2B E-Commerce,B2B Marketplace,Bangalore,Lightspeed & Yuri Milner,Private Equity,50000000,https://udaan.com
21/02/2018,01/01/1900,Capillary,IT,SaaS,Bangalore,"Wargburg Pincus, Sequoia",Private Equity,20000000,https://www.capillarytech.com
20/02/2018,01/01/1900,Agricxlab,AgriTech,Agri-tech,Mumbai,Ankur Capital,Seed / Angel Funding,500000,http://www.agricx.com
19/02/2018,03/01/1900,AyeFinance,FinTech,Online Lending,Gurugram,"Hinduja Leyland Finance, IntelleGrow ",Private Equity,3800000,http://www.ayefin.com
16/02/2018,02/01/1900,Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,150000,https://www.fincash.com
16/02/2018,02/01/1900,happay,FinTech,Expense Management,Bangalore,Sequoia and Jerry Yang,Seed / Angel Funding,250000,https://www.happay.in
15/02/2018,02/01/1900,Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,6230000,https://www.infibeam.com
15/02/2018,01/01/1900,PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey ,Seed / Angel Funding,148434,https://petsutra.com
14/02/2018,02/01/1900,Shirsa Labs,Education,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,500000,http://www.shirsa.in
14/02/2018,05/01/1900,Toppr,Education,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,100000,https://www.toppr.com/
14/02/2018,01/01/1900,Littlemore,Education,Online Education Platform,Chennai,Kalpavriksh,Private Equity,3000000,http://www.littlemoreinnovation.com
14/02/2018,02/01/1900,MoneyOnMobile,Technology,mobile payment platform,Mumbai, S7 Group,Private Equity,5000000,http://moneyonmobile.in
14/02/2018,09/01/1900,OYO Rooms,Consumer Internet,Hotel Aggregator Platform,Gurgaon,DiDi Chuxing,Equity,100000000,https://www.oyorooms.com/
13/02/2018,01/01/1900,IMAX Program,Education,Individualised Progressive Learning Program,Bangalore,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,13500000,https://imaxprogram.com
13/02/2018,02/01/1900,Awaaz De,B2B SaaS,Mobile Solutions for Social Impact,Ahmedabad,Tribe Impact Capital LLP,Seed / Angle Funding,,https://awaaz.de
13/02/2018,06/01/1900,HolaChef,Consumer Internet,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed / Angle Funding,311200,https://www.holachef.com
12/02/2018,03/01/1900,Wydr,B2B E-Commerce,B2B Marketplace,Gurugram,"Bessemer Venture Partners, Stellaris Venture Partners, Axis Capital, Singapore, Jungle Venture Partners",Private Equity,,https://wydr.in/
12/02/2018,01/01/1900,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,935089,https://www.cashify.in
12/02/2018,06/01/1900,Lendingkart,FinTech,Online Lending Platform,Bangalore,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,87000000,https://www.lendingkart.com/
09/02/2018,01/01/1900,WebEngage,Technology,Marketing Cloud for consumer businesses,Mumbai,Social Capital,Private Equity,,https://webengage.com
09/02/2018,01/01/1900,Rupeek,Consumer Internet,Online Gold Loan,Bangalore,"Accel Partners, Sequoia Capital",Private Equity,6830000,https://rupeek.com
09/02/2018,01/01/1900,MedTel,Healthcare,Virtual health clinics,Bhubaneswar,British and Indian Governments,Private Equity,,https://medtel.in
09/02/2018,06/01/1900,Healthifyme,Healthcare,Mobile Weight Loss Coach,Bangalore,Sistema Asia Fund,Private Equity,12000000,https://healthifyme.com
08/02/2018,04/01/1900,Icertis,B2B SaaS,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,50000000,https://www.icertis.com
08/02/2018,01/01/1900,Shape,Healthcare," Online Portal for Diet,fitness and Beauty",Pune,Sandeep Mathur,Seed / Angle Funding,100000000,https://www.shape.com/
07/02/2018,10/01/1900,Swiggy,Consumer Internet,Online Food Delivery,Bangalore,Naspers,Private Equity,100000000,https://www.swiggy.com
06/02/2018,01/01/1900,Healthi,Healthcare,Preventive Health Checkup,Bangalore,Montane Ventures,Private Equity,3100000,https://www.healthi.in
06/02/2018,01/01/1900,Foodmemories,Consumer Internet,Online Food Marketplace,Ahemdabad,"Bhavesh Manglani, Suraj Saharan, Darshan Upadhyay, Sanjay Notani & Others",Seed funding,,https://www.foodmemories.com/
05/02/2018,03/01/1900,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,2000000,https://www.collegedekho.com
05/02/2018,01/01/1900,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,21000000,https://www.aimsindia.com
05/02/2018,03/01/1900,Pratilipi,Online Media,E-Publishing,Bangalore,Omidyar Network,Private Equity,4300000,http://pratilipi.in
01/02/2018,05/01/1900,Zomato,Consumer Internet,Food Ordering and Restaurant Discovery,Gurugram,Ant Financials,Private Equity,200000000,https://www.zomato.com
01/02/2018,04/01/1900,BigBasket,E-Commerce,Online Grocery & Food Store,Bangalore,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,300000000,https://www.bigbasket.com
31/01/2018,02/01/1900,iNurture,Technology,Education Solutions,Bangalore,Ventureast,Private Equity,4400000,http://www.inurture.co.in/
30/01/2018,01/01/1900,BrowserStack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,50000000,https://www.browserstack.com/
30/01/2018,01/01/1900,PeeSafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,1000000,http://www.peesafe.in/
30/01/2018,01/01/1900,Scapic,Technology,Virtual Reality,Bangalore,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,500000,https://scapic.com/
30/01/2018,02/01/1900,MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,7600000,http://moneyonmobile.in/
30/01/2018,04/01/1900,CureFit,Healthcare,Fitness,Bangalore,"HDFC Bank, Axis Bank",Debt Funding,10000000,https://www.cure.fit/
29/01/2018,03/01/1900,eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,1500000,https://www.ekincare.com/
29/01/2018,02/01/1900,The Wedding Brigade,Consumer internet,Online Services,Mumbai,Blume Ventures,Private Equity,1000000,http://www.theweddingbrigade.com/
26/01/2018,01/01/1900,Axio,Healthcare,Hemostatic Dressing Solutions,Bangalore,RNT Capital,Private Equity,7400000,http://www.axiobio.com/
25/01/2018,01/01/1900,GreyAtom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,1000000,http://www.greyatom.com/
25/01/2018,01/01/1900,Glassic,Ecommerce,Eyewear,Bangalore,"Chennai Angels, Lead Angels, LetsVenture",Angel / Seed Funding,,https://www.glassic.in/
24/01/2018,04/01/1900,Aye Finance,FinTech,Online Lending,Gurugram,IFMR Capital,Term Loan,6240000,http://www.ayefin.com/
24/01/2018,01/01/1900,Rao IIT Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,8600000,https://www.raoiit.com
24/01/2018,01/01/1900,NeoGrowth Credit,FinTech,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,47000000,https://www.neogrowth.in/
23/01/2018,04/01/1900,Milkbasket,E-commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,3000000,http://milkbasket.com/
